,sede_id,url,red_social
39,CMALL,https://www.facebook.com/ArgentinaEnPalmaDeMallorca,Facebook
40,CMDEO,https://www.facebook.com/ArgentinaEnMontevideo/,Facebook
41,CMIAM,https://es-la.facebook.com/consuladoargentino.miami/,Facebook
42,CMILA,https://www.facebook.com/ConsuladoArgentinoenMilan,Facebook
43,CMILA,https://www.instagram.com/consuladoargentinoenmilan/,Instagram
44,CMILA,https://www.youtube.com/channel/UCZdYeN4gttYEyX15xxkUNWQ,Youtube
45,CNYOR,https://www.facebook.com/ARGenNewYork,Facebook
46,CNYOR,https://twitter.com/ARGenNewYork,Twitter
47,CNYOR,https://www.instagram.com/argennewyork/,Instagram
48,CNYOR,https://www.youtube.com/channel/UCJFygvT8lgEo1PrQqsHqMKg,Youtube
49,CPMON,https://www.facebook.com/ArgentinaEnPuertoMontt/,Facebook
50,CRECI,https://www.facebook.com/ArgentinaEnBrasilRecife,Facebook
51,CRECI,https://www.instagram.com/consuladoargentinorecife,Instagram
52,CRIOJ,https://www.facebook.com/ArgentinaEnRiodeJaneiro/,Facebook
53,CSBAH,https://www.instagram.com/argentinaensalvador,Instagram
54,CSBAH,https://www.facebook.com/ArgentinaenSalvador,Facebook
55,CSBAH,https://twitter.com/ArgentinaEnSSA,Twitter
56,CSCRS,www.facebook.com/ArgEnSantaCruz  de  la  Sierra,Facebook
57,CSIDN,https://www.facebook.com/ArgentinaEnSidney/,Facebook
58,CTENE,www.facebook.com/argentinaentenerife,Facebook
59,CTORO,https://www.facebook.com/ArgentinaEnToronto/,Facebook
60,CTORO,https://www.instagram.com/consuladoargtoronto/,Instagram
61,CURUG,https://www.facebook.com/ArgEnUruguayana/,Facebook
62,CURUG,https://twitter.com/CURUGoK,Twitter
63,CVALP,https://www.facebook.com/ArgentinaEnValparaiso,Facebook
64,CVIGO,facebook.com/ArgentinaenVigo,Facebook
65,CVIGO,https://www.instagram.com/argenvigo/,Instagram
66,CVILL,https://www.facebook.com/ArgEnVillazon,Facebook
67,EALEM,https://www.facebook.com/ArgEnAlemania/,Facebook
68,EANGO,https://www.facebook.com/ArgentinaEnAngola/,Facebook
69,EANGO,https://www.instagram.com/embargentinaenangola/,Instagram
70,EARAB,https://www.facebook.com/argentinaenarabiasaudita/,Facebook
71,EARAB,https://twitter.com/ensaudita,Twitter
72,EARAB,https://www.instagram.com/arginsaudi/,Instagram
73,EARGE,https://twitter.com/ARGenArgelia,Twitter
74,EARGE,https://instagram.com/argenargelia,Instagram
75,EARGE,facebook.com/ArgentinaEnArgelia,Facebook
76,EARME,https://www.instagram.com/arginarmenia/,Instagram
77,EARME,https://www.facebook.com/ArgentinaEnArmenia,Facebook
78,EARME,https://twitter.com/ARGinArmenia,Twitter
79,EASIR,https://www.facebook.com/Embajada-Argentina-en-Siria-112176794025495,Facebook
80,EAUST,https://www.facebook.com/ArgentinaEnAustralia/,Facebook
81,EAUST,https://twitter.com/ARGinAustralia,Twitter
82,EAZER,https://www.facebook.com/EmbassyOfArgentina/,Facebook
83,EAZER,www.instagram.com/embargentinaaz,Instagram
84,EAZER,www.twitter.com/ARGEnAzer,Twitter
85,EBARB,https://www.facebook.com/ArgentinaEnBarbados/,Facebook
86,EBELG,https://www.facebook.com/ArgentinaEnBelgica/,Facebook
87,EBELG,https://www.instagram.com/argenbelgica/,Instagram
88,EBRAS,https://www.instagram.com/embaargenbrasil,Instagram
89,EBRAS,https://twitter.com/ArgentinaEnBras,Twitter
90,EBRAS,https://www.facebook.com/embargbrasil,Facebook
91,EBULG,https://www.facebook.com/ArgentinaEnBulgaria/,Facebook
92,EBULG,https://www.youtube.com/channel/UCK-uSxN84lEMqJwCviEjZow,Youtube
93,ECANA,https://www.facebook.com/ArgentinaInCanada,Facebook
94,ECANA,https://www.youtube.com/channel/UC77DGXZ2ppExRtV4WS4IV-A,Youtube
95,ECANA,https://twitter.com/ArginCanada,Twitter
96,ECANA,https://www.instagram.com/argentinaincanada/,Instagram
97,ECANA,https://www.linkedin.com/company/argentinaincanada,Linkedin
98,ECEUR,https://www.facebook.com/ARGanteUE,Facebook
99,ECEUR,https://www.linkedin.com/company/arganteue,Linkedin
100,ECEUR,https://twitter.com/ARGanteUE,Twitter
101,ECEUR,https://www.youtube.com/@ARGanteUE,Youtube
