,nombre_pais,sede_id,red_social,url
183,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CSBAH,Twitter,https://twitter.com/ArgentinaEnSSA
184,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CURUG,Facebook,https://www.facebook.com/ArgEnUruguayana/
185,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CURUG,Twitter,https://twitter.com/CURUGoK
186,REPÚBLICA  FEDERATIVA  DEL  BRASIL,EBRAS,Facebook,https://www.facebook.com/embargbrasil
187,REPÚBLICA  FEDERATIVA  DEL  BRASIL,EBRAS,Instagram,https://www.instagram.com/embaargenbrasil
188,REPÚBLICA  FEDERATIVA  DEL  BRASIL,EBRAS,Twitter,https://twitter.com/ArgentinaEnBras
189,REPÚBLICA  FRANCESA,EFRAN,Facebook,https://www.facebook.com/ArgentinaEnFrancia/
190,REPÚBLICA  FRANCESA,EUNES,Facebook,https://www.facebook.com/delegation.argentine/
191,REPÚBLICA  FRANCESA,EUNES,Twitter,https://twitter.com/ArgentinaUNESCO
192,REPÚBLICA  HELÉNICA,EGREC,Facebook,https://www.facebook.com/ArgentinaEnGrecia
193,REPÚBLICA  HELÉNICA,EGREC,Youtube,https://www.youtube.com/channel/UCFaKsErEs33zEdzJbnrzOog/featured
194,REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,EPAKI,Twitter,https://twitter.com/EmbajadadeArge1
195,REPÚBLICA  ITALIANA,CMILA,Facebook,https://www.facebook.com/ConsuladoArgentinoenMilan
196,REPÚBLICA  ITALIANA,CMILA,Instagram,https://www.instagram.com/consuladoargentinoenmilan/
197,REPÚBLICA  ITALIANA,CMILA,Youtube,https://www.youtube.com/channel/UCZdYeN4gttYEyX15xxkUNWQ
198,REPÚBLICA  ITALIANA,EITAL,Facebook,https://es-la.facebook.com/emb.roma/
199,REPÚBLICA  ITALIANA,EITAL,Instagram,https://www.instagram.com/arginitalia/?hl=es
200,REPÚBLICA  ITALIANA,EITAL,Twitter,https://twitter.com/arginitalia?lang=es
201,REPÚBLICA  LIBANESA,ELBNO,Facebook,https://www.facebook.com/ArgentinaEnLibano
202,REPÚBLICA  ORIENTAL  DEL  URUGUAY,CCOLO,Facebook,https://www.facebook.com/ArgentinaenColonia
203,REPÚBLICA  ORIENTAL  DEL  URUGUAY,CMALD,Facebook,https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal
204,REPÚBLICA  ORIENTAL  DEL  URUGUAY,CMALD,Instagram,https://www.instagram.com/consulado_argentino/
205,REPÚBLICA  ORIENTAL  DEL  URUGUAY,CMDEO,Facebook,https://www.facebook.com/ArgentinaEnMontevideo/
206,REPÚBLICA  ORIENTAL  DEL  URUGUAY,EURUG,Facebook,https://www.facebook.com/ArgentinaEnUru/
207,REPÚBLICA  ORIENTAL  DEL  URUGUAY,EURUG,Instagram,https://www.instagram.com/argentinaenuru/
208,REPÚBLICA  ORIENTAL  DEL  URUGUAY,EURUG,Twitter,https://twitter.com/ArgentinaEnUru
209,REPÚBLICA  SOCIALISTA  DE  VIETNAM,EVIET,Facebook,https://www.facebook.com/ArgentinaEnVietnam/
210,REPÚBLICA  SOCIALISTA  DE  VIETNAM,EVIET,Instagram,https://www.instagram.com/argenvietnam/
211,REPÚBLICA  TUNECINA,ETUNE,Facebook,https://www.facebook.com/ArgEnTunez/
212,REPÚBLICA  TUNECINA,ETUNE,Instagram,https://www.instagram.com/embargentinatn
213,REPÚBLICA  TUNECINA,ETUNE,Twitter,https://www.twitter.com/EmbajadaTunez
214,REPÚBLICA  TUNECINA,ETUNE,Youtube,https://www.youtube.com/channel/UC8kSZug1SPHrp3r1hGzhjtg
215,REPÚBLICA  ÁRABE  DE  EGIPTO,EEGIP,Facebook,facebook.com/ArgentinaenEgipto
216,REPÚBLICA  ÁRABE  DE  EGIPTO,EEGIP,Instagram,instagram.com/argenegipto/
217,REPÚBLICA  ÁRABE  DE  EGIPTO,EEGIP,Twitter,twitter.com/ARGenEgipto
218,REPÚBLICA  ÁRABE  SIRIA,EASIR,Facebook,https://www.facebook.com/Embajada-Argentina-en-Siria-112176794025495
219,RUMANIA,ERUMA,Facebook,https://www.facebook.com/ArgentinaEnRumania
220,RUMANIA,ERUMA,Instagram,https://www.instagram.com/argentinaenrumania
221,REINO  DE  BÉLGICA,EBELG,Facebook,https://www.facebook.com/ArgentinaEnBelgica/
222,REINO  DE  BÉLGICA,EBELG,Instagram,https://www.instagram.com/argenbelgica/
223,REINO  DE  BÉLGICA,ECEUR,Facebook,https://www.facebook.com/ARGanteUE
224,REINO  DE  BÉLGICA,ECEUR,Flickr,https://www.flickr.com/people/197084220@N02/
225,REINO  DE  BÉLGICA,ECEUR,Linkedin,https://www.linkedin.com/company/arganteue
226,REINO  DE  BÉLGICA,ECEUR,Twitter,https://twitter.com/ARGanteUE
227,REINO  DE  BÉLGICA,ECEUR,Youtube,https://www.youtube.com/@ARGanteUE
228,SANTA  SEDE,ESSED,Facebook,https://www.facebook.com/ArgEnSantaSede
229,SANTA  SEDE,ESSED,Instagram,https://www.instagram.com/argensantasede/
230,SANTA  SEDE,ESSED,Twitter,https://twitter.com/ArgSantaSede
231,SANTA  SEDE,ESSED,Youtube,https://www.youtube.com/c/EmbajadaArgentinaantelaSantaSede
232,UCRANIA,EUCRA,Facebook,https://www.facebook.com/ArgentinaEnUcrania
233,UCRANIA,EUCRA,Instagram,https://www.instagram.com/argenucrania/
234,日本国  (JAPÓN),EJAPO,Facebook,https://www.facebook.com/ArgJapon/?ref=bookmarks
